Time,Objek,Error,Delta Error,Motor Kiri,Motor Kanan
0.032,154,222,222,-7.999999999999999,13.333333333333334
0.064,153,223,1,-1.7744739742969653,13.332796780684106
0.096,184,192,-31,-0.4639332762447849,12.970862800565772
0.128,209,167,-25,-0.643887468255433,13.082706766917296
0.16,231,145,-22,-0.7348046223241783,13.132919254658386
0.192,255,121,-24,-0.6739511668690134,13.099898682877408
0.224,277,99,-22,-0.7348046223241783,13.132919254658386
0.256,298,78,-21,-0.7658090976882923,13.091358024691361
0.28800000000000003,316,60,-18,-0.8468360737419037,12.888888888888891
0.32,318,58,-2,-1.7866976213750403,12.863980463980463
0.352,326,50,-8,-1.3526871266663163,12.760233918128657
0.384,341,35,-15,5.434869487249948,11.287360233349538
0.41600000000000004,351,25,-10,7.8694567287021675,12.185491276400368
0.448,359,17,-8,9.470106626983677,12.587945838718248
0.48,363,13,-4,10.421049878381767,12.927373801054292
0.512,366,10,-3,11.042161117422888,13.048476220605293
0.544,371,5,-5,11.844704560352094,12.997868790800386
0.5760000000000001,371,5,0,12.249131429033573,13.309090909090909
0.608,374,2,-3,12.697875142752796,13.13767556365817
0.64,374,2,0,12.884154239628716,13.329230769230769
0.672,375,1,-1,13.008305385982538,13.266886298773636
0.704,376,0,-1,13.332796780684106,13.267403482064813
0.736,376,0,0,13.333333333333334,13.333333333333334
0.768,379,-3,-3,13.32427672955975,11.771069363889415
0.8,376,0,3,13.13767556365817,13.32863666014351
0.8320000000000001,374,2,2,12.25804647824594,13.329230769230769
0.864,376,0,-2,13.331216931216932,13.202206356190727
0.896,381,-5,-5,13.309090909090909,10.878258428540466
0.928,379,-3,2,13.195039596963607,12.48855828697013
0.96,377,-1,2,13.202206356190727,13.007129052643629
0.992,379,-3,-2,13.32427672955975,12.055934197292705
1.024,378,-2,1,13.263779939747238,12.79010192685311
1.056,376,0,2,13.202206356190727,13.331216931216932
1.088,379,-3,-3,13.32427672955975,11.771069363889415
1.12,378,-2,1,13.263779939747238,12.79010192685311
1.1520000000000001,378,-2,0,13.329230769230769,12.884154239628716
1.184,378,-2,0,13.329230769230769,12.884154239628716
1.216,376,0,2,13.202206356190727,13.331216931216932
1.248,379,-3,-3,13.32427672955975,11.771069363889415
1.28,378,-2,1,13.263779939747238,12.79010192685311
1.312,378,-2,0,13.329230769230769,12.884154239628716
1.344,378,-2,0,13.329230769230769,12.884154239628716
1.3760000000000001,378,-2,0,13.329230769230769,12.884154239628716
1.408,378,-2,0,13.329230769230769,12.884154239628716
1.44,376,0,2,13.202206356190727,13.331216931216932
1.472,377,-1,-1,13.33228758169935,12.777218263574929
